album,data,musica,letra
Eu Nunca Fui Embora - PARTE 1,2024-04-05 00:00:00,Eu Te Amo / Eu Te Odeio (Iô - Iô),"8 Contributors
Eu Te Amo / Eu Te Odeio (Iô - Iô) Lyrics
[Letra de ""Eu Te Amo / Eu Te Odeio (IÔ-IÔ)"" com Fresno & Pabllo Vittar]
[Verso 1: Lucas Silveira]
Se alguém um dia perguntar
Qual é o teu segredo, não ouse falar
Eu sei, tu deixa só pra mim
Agora eu entendi o que te fez assim
Não, ninguém me disse
Tem coisas que o tempo é quem vai falar
Não acredito em idiotice
Nem vou tentar fazer você acreditar (Ah, ah, ah)
[Pré-Refrão: Lucas Silveira]
Hey, será que não vê?
Que é desajustada e tá linda assim
Você não precisa de conserto
Nem de um amor, muito menos de mim
[Refrão: Lucas Silveira]
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, еu te amo
(Mas tem horas que еu)
Iô, iô, iô, iô, iô, iô, eu te odeio
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
[Verso 2: Pabllo Vittar]
(Vittar)
Abracadabra, abram as asas
Amor e ódio eternamente
Abertos entre a porta do céu e o cemitério
A gente vive tudo, menos tédio
[Pré-Refrão: Pabllo Vittar & Lucas Silveira]
Hey, será que não vê?
Sou descontrolada e prefiro assim (Eu prefiro assim)
Eu não tenho conserto e não quero amor
Se ele é feito pro fim
[Refrão: Pabllo Vittar & Lucas Silveira]
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
[Instrumental]
[Refrão: Lucas Silveira]
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio"
Eu Nunca Fui Embora - PARTE 1,2024-04-05 00:00:00,Camadas,"10 Contributors
Camadas Lyrics
[Letra de ""Camadas"" com Fresno]
[Verso 1]
Eu não vou mais me sabotar, nunca mais vou dar chance pro azar
Quando eu falava em me matar, eu só queria enterrar
O que eu achava de mim quando eu falava em amar
Eu só queria encontrar alguém igual a mim
[Pré-Refrão]
Camada por Camada
Armadura quebrada
Camada por Camada
Reconstruir a casa
[Refrão]
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
'Cê foi tirando, tirando até não sobrar nada
'Cê foi tirando, tirando, tirando até não sobrar nada
[Verso 2]
Eu me prometi me valorizar mais
Ter mais tempo pra mim e perdoar meus pais
O que mais me mata são coisas que não são de verdade
Chеga de perder tеmpo, nem tenho mais idade
[Refrão]
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
'Cê foi tirando, tirando até não sobrar nada
'Cê foi tirando, tirando, tirando até não sobrar nada
[Solo de Guitarra]
[Refrão]
Oh
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
Oh
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
'Cê foi tirando, tirando até não sobrar nada
'Cê foi tirando, tirando, tirando até não sobrar nada"
Eu Nunca Fui Embora - PARTE 1,2024-04-05 00:00:00,Era Pra Sempre,"10 Contributors
Era Pra Sempre Lyrics
[Letra de ""Era Pra Sempre"" com Fresno]
[Verso 1]
Beijo roubado
As três da manhã, pegou de lado
Eu não entendi embriagado
E deixei pra depois
Peguei tua mão
Pra te assegurar que a solidão
Não vai machucar e amanhecemos
Tão tarde pra almoçar
[Refrão]
Você nem sonhava, mas eu sabia
Que era pra sempre, mesmo quando ninguém sabia
Sempre, desde o nosso primeiro dia
Sempre, apesar de mim
[Verso 2]
Ingenuidade
Achar que a gente tem vontades
Que o destino preenche sua vaidade
Achar que sabe mais que o tempo
Que ele dizia
Que dia após dia aumentaria
Que a gente sentia
Até não caber mais em nós
[Refrão]
Você nem sonhava (Mas eu já sabia)
Que era pra sempre, mesmo quando não parecia
Sempre, desde o nosso primeiro dia
Sempre, apesar de nós
[Ponte]
Quatro da manhã da sexta feira
A tua paciência já se esgotou
E em pedaços eu tento juntar
Tudo de mim em você que nos restou
A força que eu acreditava possuir, deixou de existir
Mostrou pra mim a farsa que eu sou, acovardado
E vida me ensinando a gritar calado
Eu nunca disse que eu ia te amar pra sempre
Pois pra sempre vou te decepcionar
Nada é eterno, nem mesmo o tempo
Exceto a minha gana de recomeçar de novo
Melhor, mais calmo, sábio, consciente
De que tudo pode se acabar
Mas se depender de mim, eu sei
[Saída]
Que vou te amar pra (Sempre!)
Sempre achando uma saída
(Sempre!) Até o final da nossa vida
Sempre, apesar de mim, de você, de nós
(Sempre!) De nós
(Sempre!) De nós
Sempre (Sempre, sempre, sempre)
Ah-ah, ah-ah-ah"
Eu Nunca Fui Embora - PARTE 1,2024-04-05 00:00:00,Interlude,"9 Contributors
Interlude Lyrics
[Letra de ""Interlude"" com Fresno]
[Verso]
Estrada do inferno, 
farol da solidão
Dentro de um caderno, 
um parque de redenção
Por tudo que é eterno, Piedade, Jaboatão
Por dentro e por fora, eu nunca fui embora
Rodrigos, intrigas e noites mal dormidas
Lições mal aprendidas pra mais de quatro vidas
Feliz por acidente
, antes e agora
Nunca é minha hora, eu nunca fui embora
A vida é um sopro, é a boca da morte
Me cuspindo pra fora, um golpe de sorte
Se a gente não morre, não cura dos cortes
Mas vivendo piora, eu nunca fui embora
Azar de quem fica, maldito quem vai
Eu não sei nem o cheiro de abraço de pai
Repito, incansável, mais forte agora
Eu nunca fui embora, eu nunca fui embora
Eu nunca fui embora"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Vou Ter Que Me Virar,"6 Contributors
Vou Ter Que Me Virar Lyrics
[Letra de ""Vou Ter Que Me Virar""]
[Verso 1]
Vai, fala então pra mim, tudo que eu não fiz
Pra te fazer feliz
Eu sei tudo que eu vivi e o que eu tive que ouvir
Não sei como eu não morri
[Pré-Refrão]
É solitário a gente não pertencer
Dormi no ônibus, sonhei que ia bater
E se eu sobreviver
Quando eu respiro, eu não sinto o ar
Nem sei se eu tenho suficiente pra cantar
Mas até lá
[Refrão]
Vou ter que me virar como semprе
Vou ter que superar como sеmpre
Às vezes eu me sinto só
Sei que não sou só eu (Vou ter que me virar)
[Verso 2]
Sempre que eu puder falar, eu não vou me calar
Sentir isso sozinho mata
E talvez seja mesmo assim, essa parte de mim
Me abençoa e me desgraça
[Pré-Refrão]
Às vezes não sei mais por que tô aqui
Dormi no avião, sonhei que ia cair
Mas eu sobrevivi
Quando eu respiro, eu não sinto o ar
Nem sei se eu tenho suficiente pra cantar
Mas até lá
[Refrão]
Vou ter que me virar como sempre
Vou ter que superar como sempre
Às vezes eu me sinto só
Sei que não sou só eu
Vou ter que me virar como sempre
Vão ter que me engolir como sempre
Às vezes eu tô só o pó
Mas é problema meu
Vou ter que me virar (Vou ter que me virar)
Vou ter que superar (Vou ter que superar)
As vezes eu me sinto só (As vezes eu me sinto só)
Sei que não sou só eu
Vou ter que me virar
Vão ter que me engolir
Às vezes eu tô só o pó
Mas é problema meu
[Saída]
Vou ter que me virar"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Fudeu!!! (Ft. Arthur Joly),"7 Contributors
Fudeu!!! Lyrics
[Letra de ""FUDEU!!!""]
[Verso 1]
Eu tento fugir de tudo que pode me prender
A esse mundo e essa tela que engole eu e você
Fudeu!
Nem deuses, nem drogas vão me fazer dormir
Meus sonhos foram roubados, não estão mais aqui
Fudeu!
[Refrão]
O que te faz atravessar
Essa noite que parece não ter fim
Deixa eu experimentar
Porque eu já dеsisti, sobreviver tá bom demais pra mim
[Verso 2]
E o prеsidente, basicamente, quer te exterminar
E o ideal fascista já conquistou teu núcleo familiar
Fudeu!
[Refrão]
O que te faz atravessar
Essa noite que parece não ter fim
Deixa eu experimentar
Porque eu já desisti, o que vier tá bom demais pra mim
[Ponte]
Enquanto você respirar, eu vou te incomodar
Enquanto você respirar, eu vou te infernizar
Enquanto você respirar, eu não vou descansar
Se vocês querem o meu fim, vão ter que me buscar
[Refrão]
O que te faz atravessar
Essa noite que parece não ter fim
Deixa eu experimentar
Porque eu já desisti, sobreviver tá bom demais
[Saída]
O que vier tá bom demais
Vocês não vão sobreviver a mim"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Casa Assombrada,"8 Contributors
Casa Assombrada Lyrics
[Letra de ""Casa Assombrada"" com Fresno]
[Verso 1]
Aos poucos, eu vou percebendo
Os ciclos vão acontecendo
Padecem os meus comportamentos
Gatilhos e ressentimentos
Sempre prontos pra te explorar
Sem mira e sem razão pra estar
Trancado no mesmo lugar
E esse cara a quem eu não sei gostar:
Eu
[Verso 2]
O tanto que eu sofri
Só diz respeito a mim
Desculpa por eu sempre ser assim
Uh, terceirizando a minha dor
Confundindo carência com amor
Vê se não vai desistir de mim
[Refrão]
A minha casa é assombrada
São meus esses fantasmas
Por onde quer que eu vá
Comigo sempre vou levar
Prometo que não vão te atacar
[Verso 3]
Eu espero que 'cê não se importe
Isso nunca foi culpa sua
Eu precisei ser muito forte
Cruzar contigo e atravessar a rua
Entenda que dentro de mim
Tem tanta coisa pra eu resolver
Essa casa tenho que arrumar
Pra poder receber você
[Refrão]
A minha casa é assombrada
São meus esses fantasmas
Por onde quer que eu vá
Comigo sempre vou levar
É só a mim que eles vão atormentar
[Ponte]
[Refrão]
A minha casa é assombrada
São meus esses fantasmas
Por onde quer que eu vá
Comigo sempre vou levar
Prometo que não vão te atacar
A minha casa é assombrada
São meus esses fantasmas
Por onde quer que eu vá
Comigo eu sempre vou levar
Prometo que não vão te atacar
A minha casa é assombrada
São meus esses fantasmas
Por onde quer que eu vá
Comigo sempre vou levar
Fica comigo e ajuda a enfrentar"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Já Faz Tanto Tempo (Ft. Lulu Santos),"6 Contributors
Já Faz Tanto Tempo Lyrics
[Letra de ""Já Faz Tanto Tempo"" com Fresno & Lulu Santos]
[Verso 1: Lucas Silveira]
De longe eu vi você
Não quis incomodar
Eu não queria ser o causador de um novo mal-estar
'Cê tava tão feliz
De um jeito que eu jamais te fiz
Eu sei que, só de te ver, toda nossa história ia voltar
[Verso 2: Lucas Silveira]
E tudo que eu não quero
É quebrar a promessa de não mais ser
Alguém pra você lembrar
Quando algum filhadaputa te fizer sofrer
Achei que eu tava melhor
Mas aquilo era só um tapume pra esconder
O que agora o mundo inteiro vai ver
[Refrão: Lucas Silveira]
Já faz tanto tempo
Você não sai do pensamеnto
E eu não sei como te tirar dе mim
E eu não aguento
Nem mais um só momento assim
Não, eu não sei superar
[Verso 3: 
Lulu Santos
]
Parte de mim não quer
Que você seja feliz
E a outra parte odeia tanto essa parte e ainda me diz
Que eu preciso evoluir
Sob pena de nunca ter
No rosto o sorriso que eu vi em você
[Refrão: Lucas Silveira & Lulu Santos]
Já faz tanto tempo
Você não sai do pensamento
E eu não sei como te tirar de mim
E eu não aguento
Nem mais um só momento assim
Sei que você vai lembrar
[Ponte: 
Lulu Santos
 | Lucas Silveira | 
ambos
]
Eu queria ter amado você
Tanto quanto você me amou
Queria ter me importado tão pouco
A ponto de dizer que já passou
Tem tanta coisa que eu
Preciso aprender
A mais urgente é uma forma de superar você
[Refrão: Lucas Silveira & Lulu Santos]
Já faz tanto tempo
Você não sai do pensamento
E eu não sei como te tirar de mim
E eu não aguento
Nem mais um só momento assim
Já faz tanto tempo
Você não sai do pensamento
E eu não sei como te tirar de mim
E eu não aguento
Nem mais um só momento assim
Sei que você vai lembrar
[Saída: 
Lulu Santos
]
Como te tirar de mim?
Como te tirar de mim?
Como te tirar de mim?
Como te tirar de mim?"
Vou Ter Que Me Virar,2021-11-05 00:00:00,INV017: ELES ODEIAM GENTE COMO NÓS,"3 Contributors
INV017: ELES ODEIAM GENTE COMO NÓS Lyrics
[Letra de ""INV017: ELES ODEIAM GENTE COMO NÓS"" com Fresno]
[Verso 1]
Tanto me falaram pr’eu me aquietar
E coisas que eu devia esconder
Não deve ser difícil ser inofensivo
Dar a outra face pra bater
[Pré-Refrão]
Mas eu não aguento mais
O tempo não é de paz
Pra quem aprendeu a ver
[Refrão]
E quem não viu que a porta do inferno abriu
E eles odeiam gente como nós
E o calafrio que hoje você sentiu
É o medo fazendo a gente mais veloz
[Verso 2]
Tanto nos disseram ‘isso vai passar’
Que é coisa para o tеmpo resolver
E todo o dia a morte tеstar a minha sorte
Mas eu não sou um bicho fácil de abater
[Pré-Refrão]
Mas eu não aguento mais
O tempo não é de paz
Pra quem aprendeu a ver
[Refrão]
E quem não viu que a porta do inferno abriu
E eles odeiam gente como nós
E o calafrio que hoje você sentiu
É o medo fazendo a gente mais veloz
[Pós-Refrão]
Muito mais veloz
[Ponte]
Eu matei meus medos e os enterrei
Sem olhar pros lados cavei, cavei
Eu matei meus medos e os enterrei
Sem olhar pros lados cavei, cavei, cavei
[Refrão]
E quem não viu que a porta do inferno abriu
E eles odeiam gente como nós
E o calafrio que hoje você sentiu
É o medo fazendo a gente mais veloz
[Refrão]
E quem não viu que a porta do inferno abriu
E eles odeiam gente como nós
E o calafrio que hoje você sentiu
É o medo fazendo a gente mais veloz"
Vou Ter Que Me Virar,2021-11-05 00:00:00,INV020: AGORA DEIXA,"6 Contributors
INV020: AGORA DEIXA Lyrics
[Letra de ""INV020: AGORA DEIXA"" com Fresno]
[Verso 1]
Se me perguntar o que eu quero da vida
Assim como você já não vejo saída
Você me chama de qualquer lugar
Já tô chegando, não muda nada
Tô na esquina, subindo a escada
[Refrão]
E agora deixa, deixa eu te provar
Que valeu a pena você me esperar
Essa canção não é de amor
Então abre essa porta, por favor
Que do outro lado tem alguém
Querendo saber se você pensou igual também
[Verso 2]
E pode parece que eu já desisti
Que o 
sonho médio
 já me conquistou
Quer o brilho dos mеus olhos já se acinzentou
Que a minha vontadе não é mais desejo
[Pré-Refrão]
E eu com menos da metade da vida pela frente
Vivo movido a ilusões tipo um adolescente
Não tô brincando, vê se não demora
Mais dois minutos e eu vou embora
[Refrão]
E agora deixa, deixa eu te provar
Que valeu a pena você me esperar
Essa canção não é de amor
Então abre essa porta, por favor
Que do outro lado tem alguém
Querendo saber se você pensou igual também
[Refrão]
E agora deixa, deixa eu te provar
Que valeu a pena você me esperar
Essa canção não é de amor
Então abre essa porta, por favor
Que do outro lado tem alguém
Querendo saber se você pensou igual também"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Caminho Não Tem Fim,"8 Contributors
Caminho Não Tem Fim Lyrics
“Caminho Não Tem Fim” é a sétima faixa do nono álbum de estúdio da banda Fresno.
Lançada junto com o álbum, no dia 5 de Novembro de 2021, a faixa conta com um fato curioso, como mencionado pelo vocalista e um… 
Read More
 
[Letra de ""Caminho Não Tem Fim"" com Fresno]
[Verso 1]
Depois de tanto caminhar
Até me faltar o ar
De tanto olhar pro lado e não ver ninguém
E mesmo os que estavam lá
Comigo já não estão mais
Sei que não posso esmorecer também
[Ponte]
E é só mais essa vez
Não vai ter outra vez
[Refrão]
O caminho não tem fim
Eu vi passar por mim
O caminho não tem fim
Eternamente assim
[Verso 2]
Eu vejo o ar que sai de mim
Deixando claro que, de onde eu vim
A desistência nunca foi opção
E o que carrego em coração
É algo que eles nunca terão
Podem tentar, mas não consеguirão
[Ponte]
E é só mais essa vez
Não vai ter outra vеz
[Verso 3]
Me diz pra onde eu vou seguir
Se tudo em minha volta é precipício
Desde o início
E o que esse mundo quer de mim?
Se eu já dei tudo que me mantinha vivo
Não sei se eu consigo
[Refrão]
O caminho não tem fim
Eu vi passar por mim
O caminho não tem fim
Eternamente assim
O caminho não tem fim
Eu vi passar por mim
O caminho não tem fim
Eternamente assim
[Ponte]
E é só mais essa vez
Não vai ter outra vez
[Saída]
Essa coragem me empurrou
Mas não me fez perder o medo
De ver tudo que eu sou
Me escorrendo pelos dedos
O sofrimento me fez forte
Mas também tão inseguro
Trocou o meu medo da morte
Por esse medo do futuro
Não há mais forças pra voltar
Eu gastei toda ela na ida
Nada vai te preparar
Pro que importa nessa vida
E o que eu vejo no horizonte
Uma ponte congelada
Entre o que eu não aguento mais
E o não sentir mais nada"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Essa Coisa (Acorda - Trabalha - Repete - Mantém),"5 Contributors
Essa Coisa (Acorda - Trabalha - Repete - Mantém) Lyrics
[Letra de ""Essa Coisa (Acorda - Trabalha - Repete - Mantém)"" com Fresno]
[Verso]
Se eu não mexer
Ninguém vai poder me perceber
Cada vez menos humano
Cada vez mais essa coisa
Se eu não chorar
Daqui a pouco ninguém vai lembrar
Toda ligação, engano
Todo dia a mesma coisa
[Refrão]
Acorda, trabalha, repete, mantém
Deixa pra viver depois
Até o que eu amo não mais entretém
Meu coração se decompôs
Acorda, trabalha, repete, mantém
Deixa pra viver depois
Até o que eu amo não mais entretém
Meu coração sе decompôs
[Pós-Refrão]
Deixa pra viver dеpois
Meu coração se decompôs
Meu coração se decompôs
Meu coração se decompôs
[Verso]
Se eu não mexer
Ninguém vai poder me perceber
Cada vez menos humano
Cada vez mais essa coisa
Se eu não chorar
Daqui a pouco ninguém vai lembrar
Toda ligação, engano
Todo dia a mesma coisa
[Refrão]
Acorda, trabalha, repete, mantém
Deixa pra viver depois
Até o que eu amo não mais entretém
Meu coração se decompôs
Acorda, trabalha, repete, mantém
Deixa pra viver depois
Até o que eu amo não mais entretém
Meu coração se decompôs
[Pós-Refrão]
Deixa pra viver depois
Meu coração se decompôs
Meu coração se decompôs
Meu coração se decompôs"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Tell Me Lover (Ft. Alejandro Aranda & Yvette Young),"5 Contributors
Tell Me Lover Lyrics
[Letra de ""Tell Me Lover"" com Fresno, Scarypoolparty & Yvette Young]
[Verso 1: Lucas Silveira]
Pegou na minha mão, eu me senti um nada
Incapaz de proteger aquilo que eu amava
Queria evitar que você sofresse
Mas já vivi assim, era como se eu não vivesse
[Pré-Refrão | Pre-Chorus: Scarypoolparty]
Have you ever loved someone
But they never cared?
Have you ever screamed inside
""I wish that you were here""
I'll buy you a rose
I'll spare you my life
I'll tear up the light
I'll spare you the time
[Refrão | Chorus: Scarypoolparty]
So tell me, lover
Am I the only one that you see?
So tell me, lover
Will you follow me to the deep?
[Verso 2: Lucas Silveira]
E, bem na minha vez, o amor fechou a porta
Ninguém tá muito bem, isso não me conforta
Eu vivo essa contradição
De sempre achar que eu não sou suficiente
O teu abraço é um vão
[Pré-Refrão | Pre-Chorus: Scarypoolparty]
Have you ever loved someone
But they never cared?
Have you ever screamed inside
""I wish that you were here""
I'll buy you a rose
I'll spare you my life
I'll tear up the lights
I'll spare you the time
[Refrão | Chorus: Scarypoolparty]
So tell me, lover
Am I the only one that you see?
So tell me, lover
Will you follow me to the deep?
[Saída | Outro: Scarypoolparty]
I'll buy you a rose
I'll spare you my life
I'll tear up the light
I'll spare you the time"
Vou Ter Que Me Virar,2021-11-05 00:00:00,INV004: 6h34 (NEM LIGA GURIA),"3 Contributors
INV004: 6h34 (NEM LIGA GURIA) Lyrics
[Letra de ""INV004: 6h34 (NEM LIGA GURIA)"" com Fresno]
[Intro]
Nem liga, guria
Se eu já não sei disfarçar
Se eu já cansei de esconder
O que era fácil de achar
[Refrão]
Nem liga, guria
Se nos meus olhos não há mais
O brilho de quem vivia
Com o coração em paz
[Verso 1]
Se a gente já soubesse como vai ser a viagem
Antes mesmo de comprar nossa passagem
A gente já virava pro outro lado e dormia, tão só
[Verso 2]
Se a gente entendesse que há um ciclo no amor
Começa pela cura, mas termina com a dor
A nossa cama pra sempre estaria vazia
[Refrão]
Nem liga, guria
Se a minha voz acabar
Sei que tu já me sacou sem eu precisar falar
Nem liga, guria
Não vou poder te atender
Tô encontrando em minha vida um canto só pra você
[Verso 3]
Se a gente já soubesse como vai ser a viagem
Não perderia tanto tempo com bobagem
E o meu peito poderia muito bem ser a tua moradia
[Verso 4]
Eu finjo que acredito no que dizem sobre o amor
Eu finjo que é eterno, mas te peço, por favor
Esquece tudo e vem passar comigo essa madrugada tão fria
[Ponte]
Vê se não fica assustada quando eu digo
Eu nunca fui daqueles que fazem sentido
Tô em São Paulo, aqui o céu nunca é azul
Eu tô aqui cantando um samba com sotaque do sul
[Saída]
Amanheceu, e eu deveria estar dormindo
Mas estes versos são palavras explodindo
E no teu colo, um dia, elas vão cair
E aonde isso vai dar, só cabe a nós decidir
Uh-uh-uh-uh-uh, uh-uh, uh...
Oh-oh, oh, oh...
Uh-uh-uh-uh-uh, uh
Uh-uh, uuhh...
Hm, hm, hm"
Vou Ter Que Me Virar,2021-11-05 00:00:00,Grave Acidente,"4 Contributors
Grave Acidente Lyrics
[Letra de ""Grave Acidente"" com Fresno]
[Verso 1]
Se o que sai dessas mãos te ferir como flecha
Não te peço perdão por arruinar tua festa
Verso que sai da boca, sai pra não mais voltar
Pode te fazer rir e chorar
[Verso 2]
Não me resta escolha a não ser esperar
A inevitável sentença de uma vida a cantar
Verso que sai da boca é capaz de matar
Vira bala perdida
O teu peito encontra
[Refrão]
Meu fardo é pesado
Mas é de se compreender
Eu sinto ter mais passado
Que futuro a viver
É só ficar do teu lado
Pro meu sonho escurecer
E um oceano encarnado
De um ódio infinito afoga eu e você
Não sou piloto nem carro
Eu sou um grave acidente
Eu vou acontecer
[Saída]
Se o que sai dessas mãos te ferir como flecha
Não te peço perdão por arruinar tua festa
Verso que sai da boca é capaz de matar
É capaz de matar"
Inventário,2021-09-03 00:00:00,INV000,
Inventário,2021-09-03 00:00:00,"INV001: 12 WORDS 30000 STONES (Ft. ​adieu, Arthur Mutanen & Chediak)","2 Contributors
INV001: 12 WORDS 30000 STONES Lyrics
[Letra de ""INV001: 12 WORDS 30000 STONES"" com Fresno, Arthur Mutanen, Chediak & Adieu]
[Verso 1]
O digital me traduz tão mal
E tudo que me faz real
São arquivos corrompidos pra esquecer
Nesse punhal tá escrito 'alô'
Tão fundo em mim ele cortou
Quem vai limpar toda essa merda é você
[Pré-Refrão]
E eu não percebi...
[Refrão]
A dozen words 30000 stones
Crushing all my bones
I keep forgetting that I'm the only one
Able to kill and capable to heal myself
Not you, not anyone
I'm out of fucks to give therefore I give you none
[Verso 2]
Falei, repeti até eu acreditar
Fingi que tava tudo bеm, até pesar
I'm the same, I'll bе the one who drop first blood
So throw your stones, your filthy words
I don't have enough fucks to give
[Verso 3]
Nem mesmo a flor que eu plantei
Vai esconder o que enterrei
Pedaços de mim que eu precisei fragmentar
Nem mesmo a flor que eu plantei
Vai esconder o que enterrei
Pedaços de mim que eu precisei fragmentar
[Instrumental]
[Ponte]
E é real/oficial
Até o ar puro me faz mal
Aos poucos vejo minha alma apodrecer
Então eu me afundo mais... prazeres artificiais
Dentro de mim vou desfragmentar você...
[Pré-Refrão]
E eu não percebi...
[Refrão]
A dozen words 30000 stones
Crushing all my bones
I keep forgetting that I'm the only one
Able to heal and capable to kill myself
Not you, not anyone
I'm out of fucks to give therefore I give you none
[Saída]
I give you none
I'm out of fucks to give therefore I give you none"
Inventário,2021-09-03 00:00:00,INV002: O SONHO É A SENHA (Ft. Foreign & Keops & Raony),"2 Contributors
INV002: O SONHO É A SENHA Lyrics
[Letra de ""INV002: O SONHO É A SENHA"" com Fresno, Keops e Raony & 2Strange]
[Intro]
Não se atreva a duvidar de nós
Não se atreva a duvidar de nós
[Verso 1]
Esse temporal é temporário, amor
Mas o amor é força atemporal
Quando a corda aperta, apartai do mal
Acordo o coração com coragem
A queda-livre vai te lembrar o sentido
E te dar o sentido pro que tem sentido
É o que me deu força pra eu não ter cedido
Seu não fosse o sonho eu tava fudid—
[Refrão]
O sonho é a senha (Uh)
O sonho é a senha
[Verso 2]
Nada é mais perigoso que um sonhador
Nada é mais poderoso que o invisível
Nada pode parar o pensamento
Do nada sopra no rosto o vento do impossível
[Refrão]
Não se atreva a duvidar de nós
O sonho é a senha (Uh)
Não se atreva a duvidar de nós
O sonho é a senha
[Verso 3]
And dont you dare
To meddle affairs your never aware
Couldnt bare
To settle a share
Fuck with my name
You ni**as one in the same
Playing in different games
And still im running to fame yeah
[Verso 4]
Its a chain effect
Give it a days rain
I bet the pain will check
Veins, blood pain
About to stain your chest
I'll attain the rest
Don't you know ni**a that I'm dangerous
[Refrão]
Não se atreva a duvidar de nós
O sonho é a senha (Uh)
Não se atreva a duvidar de nós
O sonho é a senha
[Pós-Refrão]
(Não se atreva a duvidar de nós)
(Não se atreva a duvidar de nós)
[Verso 5]
Humanos rumando naturalmente ao caos
Open your eyes, civilizações tribais
Somos suor e virais
Vida veloz e voraz
Vida veioz e fugaz, novos tempos
Não temos tempo, mais
Não temos tempo, mais…
[Saída]
Dangerous, dangerous
Dontcha now n**ga that I’m dangerous"
Inventário,2021-09-03 00:00:00,INV003: SAFC REMIX (INSIDE A FAST CAR) (Ft. Twin Pumpkin),"2 Contributors
INV003: SAFC REMIX (INSIDE A FAST CAR) Lyrics
[Letra de ""INV003: SAFC REMIX (INSIDE A FAST CAR)"" com Fresno & Twin Pumpkin]
[Verso: Izzy Castro]
Straight from Gepetto's kitchen
A seldom cedar frame panoramic and wide
Slit-throat percentages, my clapping reason, classic-like catalogue
But fuck that puppeteer
, steering my hustle, you know that diamond don't shine
She brings the butterflies, destiny wise, the apple tree of my eyes"
Inventário,2021-09-03 00:00:00,INV004: 6h34 (NEM LIGA GURIA),"3 Contributors
INV004: 6h34 (NEM LIGA GURIA) Lyrics
[Letra de ""INV004: 6h34 (NEM LIGA GURIA)"" com Fresno]
[Intro]
Nem liga, guria
Se eu já não sei disfarçar
Se eu já cansei de esconder
O que era fácil de achar
[Refrão]
Nem liga, guria
Se nos meus olhos não há mais
O brilho de quem vivia
Com o coração em paz
[Verso 1]
Se a gente já soubesse como vai ser a viagem
Antes mesmo de comprar nossa passagem
A gente já virava pro outro lado e dormia, tão só
[Verso 2]
Se a gente entendesse que há um ciclo no amor
Começa pela cura, mas termina com a dor
A nossa cama pra sempre estaria vazia
[Refrão]
Nem liga, guria
Se a minha voz acabar
Sei que tu já me sacou sem eu precisar falar
Nem liga, guria
Não vou poder te atender
Tô encontrando em minha vida um canto só pra você
[Verso 3]
Se a gente já soubesse como vai ser a viagem
Não perderia tanto tempo com bobagem
E o meu peito poderia muito bem ser a tua moradia
[Verso 4]
Eu finjo que acredito no que dizem sobre o amor
Eu finjo que é eterno, mas te peço, por favor
Esquece tudo e vem passar comigo essa madrugada tão fria
[Ponte]
Vê se não fica assustada quando eu digo
Eu nunca fui daqueles que fazem sentido
Tô em São Paulo, aqui o céu nunca é azul
Eu tô aqui cantando um samba com sotaque do sul
[Saída]
Amanheceu, e eu deveria estar dormindo
Mas estes versos são palavras explodindo
E no teu colo, um dia, elas vão cair
E aonde isso vai dar, só cabe a nós decidir
Uh-uh-uh-uh-uh, uh-uh, uh...
Oh-oh, oh, oh...
Uh-uh-uh-uh-uh, uh
Uh-uh, uuhh...
Hm, hm, hm"
