album,data,musica,letra,tokens,types,lemmas,ttr,ltor,ltyr
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,essa vida ainda vai nos matar,"chegou o dia mas chegou depois da hora amanheceu e todos já foram embora e do teu lado um rosto borrado um gosto ruim, um celular descarregado e como a onda que aos poucos molha a areia chega a notícia que amanhã é segunda-feira o mundo bate, quase te mata a conta nunca é barata queria resumir em poucas palavras, mas... me deixa eu te dizer que não importa o que acontecer não vai passar a gente aprende a conviver desculpa eu te contar que quanto mais se aprеnde mais se quer ignorar quе essa vida ainda vai nos matar essa vida ainda vai nos matar essa vida ainda vai nos matar eu sempre quis sentir o gosto da vitória e o amargor que traz consigo a memória das vezes que eu falhei e pro espelho eu falei prometo que vou te orgulhar pra que um dia a gente se olhe no olho a história de uma vida no olhar do outro e o sofrimento vai se fazer valer se eu sofrer com você e deixa eu te dizer que não importa o que acontecer não vai passar a gente aprende a conviver desculpa eu te contar que quanto mais se aprende mais se quer ignorar que essa vida ainda vai nos matar essa vida ainda vai nos matar essa vida ainda vai nos matar essa vida ainda vai nos matar essa vida ainda vai nos matar",237,107,95,45.14767932489451,40.08438818565401,88.78504672897196
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,diga parte final,"desculpa ligar essa hora devia deixar pra depois eu fico impulsivo assim quando penso em nós dois logo eu, que não sou de falar gritando até não ter mais ar percebendo que você não vai me ouvir pois saiu de casa pra imaginar como será viver sem mim (diga) e ela vai voltar (diga) mas não é pro mesmo lugar (diga) eu também vou mudar, e mudar, e aprender que dói demais se acostumar saí pra esquecer dessa vida gastei o que eu tinha em bebida que é pra não ter jeito nem mеsmo que eu queira tе ligar e o tédio que amarra as horas remédio me prende ao agora saudade que nunca me deixa dormir que me faz esquecer tudo que eu era antes de você (diga) e ela vai voltar (eu não vou) (diga) mas não é pro mesmo lugar (longe de você) (diga) eu também vou mudar (não vai), e mudar (não vai), e aprender (não vai aprender) que dói demais se acostumar alô? nem sei como é que cê quer que eu siga sendo a tua mulher tu é igualzinho ao teu pai tudo que você constrói, cê desfaz e lá vamos de novo tentando de novo por nada, de novo apenas um ciclo do qual cê não sai tu é igualzinho ao teu pai por favor, me diga como cê ainda quer que eu finja como é ser quem me silencia tanto tempo e não me conheceu então diga ninguém sai ileso dessa briga a gente segue preso nessa trilha pouco a pouco, o amor nos corroeu diga que não vai sair da minha vida diga que não passa de mentira quando dizem que o amor morreu diga que o tempo fecha todas as feridas e que pra nós existe uma saída que nem por um segundo me esqueceu",305,153,133,50.1639344262295,43.606557377049185,86.9281045751634
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,canção pra quando o mundo acabar,"fiz essa canção pra quando o mundo se acabar não foi feita pra você gostar ela diz exatamente o que eu preciso ouvir e não se importa com o que eu vou sentir encarei o precipício e ele que virou o olhar o que será que viu em mim? tem horas que eu não tenho ninguém mesmo com gente ao meu redor e eu ouço as vozes que eu tento calar eu vejo o que não está lá os olhos se fecham еm vão e acende a escuridão fiz еssa canção mas não sei como acabar o descontrole quer me controlar veste como a pele, me transforma em outro alguém tão sequestrador quanto refém encarei o precipício e ele que virou o olhar o que será que viu em mim? tem horas que eu não tenho ninguém cheio de gente ao meu redor e eu ouço as vozes que eu tento calar eu vejo o que não estava lá os olhos se fecham em vão e acende a escuridão o mundo acabou o mundo acabou o mundo acabou o mundo acabou o mundo acabou o mundo acabou",187,81,71,43.31550802139038,37.967914438502675,87.65432098765432
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,camadas,"eu não vou mais me sabotar, eu nunca mais vou dar chance pro azar quando eu falava em me matar, eu só queria enterrar o que eu achava de mim quando eu falava em amar eu só queria encontrar alguém igual a mim camada por camada armadura quebrada camada por camada reconstruir a casa ooh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada ooh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada eu me prometi me valorizar mais ter mais tempo pra mim e perdoar meus pais o que mais me mata são coisas que não são de verdadе chega de perdеr tempo, nem tenho mais idade ooh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada ooh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada ooh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada ooh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada",218,65,57,29.81651376146789,26.146788990825687,87.6923076923077
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,disk me,"que coragem você tem de me ligar às quatro da manhã pra me falar de amor o que você tomou? quanta audácia você tem de imaginar que ouvir sua voz faria eu reconsiderar o que você tomou? diz que me ama quando bebe mas quando acorda, se esquece desse amor que acabou diz que não encontra outra igual nossa ligação perdeu o sinal você me usou e me deixou disk me, disk me, disk me disk me, disk me, disk me disk me, disk me, disk me consigo imaginar еssa situação a garrafa vazia e o celular na mão hoje não (hojе não) sem perdão (sem perdão) consigo imaginar essa situação achando que controla o meu coração hoje não (hoje não) sem perdão diz que me ama quando bebe mas quando acorda, se esquece desse amor que acabou diz que não encontra outra igual nossa ligação perdeu o sinal você me usou e me deixou diz que me ama quando bebe mas quando acorda, se esquece desse amor que acabou diz que não encontra outra igual nossa ligação perdeu o sinal você me usou e me deixou",187,65,64,34.75935828877005,34.22459893048128,98.46153846153847
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,eu nunca fui embora (sabor churrasco),"e logo quando eu tava acreditando que eu já tava bem (ahn, ahn) parece até que você adivinhou 'cê sabe me abalar como ninguém (ahn, ahn) e desde então eu me liguei que apesar de parecer, eu... nunca fui embora você quem deu o fora você me salva e me faz mal já começou pelo final me dá coragem, me dá medo explanou os meus segredos, uh oh como é que é ter esse mini-poder? só é feliz se fizer alguém sofrer já me tratei que é pra ver se passa tua memória eu não quero nem de graça e desde então eu me liguei que apesar de parecer eu nunca fui embora você quem deu o fora eu nunca fui, eu nunca vou não é assim que eu sou você me salva e me faz mal já começou pelo final me dá coragem, me dá medo explanou os meus segredos, uh oh você me salva e me faz mal já começou pelo final (pelo final) me dá coragem, me dá medo (coragem e medo) explanou os meus segredos, uh oh uh oh uh oh",185,71,65,38.37837837837838,35.13513513513514,91.54929577464789
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,camadas (sabor churrasco),"eu não vou mais me sabotar, nunca mais vou dar chance pro azar quando eu falava em me matar, eu só queria enterrar o que eu achava de mim quando eu falava em amar eu só queria encontrar alguém igual a mim camada por camada armadura quebrada camada por camada reconstruir a casa o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada eu me prometi me valorizar mais ter mais tempo pra mim e perdoar meus pais o que mais me mata são coisas que não são de verdade chega de perder tempo, nem tenho mais idade o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada oh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada oh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada",213,65,57,30.51643192488263,26.76056338028169,87.6923076923077
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,quando o pesadelo acabar (live bootleg),"boa noite desastre, tragédia, beirando a comédia eu nunca aprendo, sempre remoendo meus traumas afogados, meus sonhos soterrados meus dentes quebrados mordendo o cadeado eu quero ouvir, são paulo todo mundo tá fodido eu só queria os meus amigos todo mundo tá fodido eu só queria os meus amigos e quando foi que a gente começou a piorar, a piorar? o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar) são tantos caminhos e o mesmo destino a porta trancada, janela cimentada tua cama engole teu corpo e a borda é distante te marca com brasa, nada vai ser como antes mais uma vez, são paulo todo mundo tá fodido eu só queria os meus amigos e quando foi que a gente começou e o quê? a piorar, a piorar? o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar) grita bem alto e quando foi que a gente começou a piorar, a piorar? o medo dorme do meu lado com alarme programado são paulo pra tocar quando o pesadelo acabar e quando foi que a gente começou (acabar) a piorar, a piorar? (a piorar) o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar) e quando foi que a gente começou a piorar, a piorar? (piorar) o medo dorme do meu lado com alarme programado pra tocar são paulo quando o pesadelo acabar",239,84,79,35.146443514644346,33.054393305439326,94.04761904761905
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,era pra sempre (live bootleg),"beijo roubado as três da manhã, pegou de lado eu não entendi embriagado e deixei pra depois peguei tua mão pra te assegurar que a solidão não vai machucar e amanhecemos tão tarde pra almoçar você nem sonhava, mas eu sabia que era pra sempre, mesmo quando ninguém sabia sempre, desde o nosso primeiro dia sempre, apesar de mim ingenuidade achar que a gente tem vontades que o dеstino preenche sua vaidade achar que sabе mais que o tempo que ele dizia que dia após dia aumentaria que a gente sentia até não caber mais em nós sky você nem sonhava (mas eu já sabia) que era pra sempre, mesmo quando não parecia sempre, desde o nosso primeiro dia sempre, apesar de nós quatro da manhã da sexta-feira a tua paciência já se esgotou e em pedaços eu tento juntar tudo de mim em você que nos restou a força que eu acreditava possuir, deixou de existir mostrou pra mim a farsa que eu sou, acovardado e vida me ensinando a gritar calado eu nunca disse que eu ia te amar pra sempre pois pra sempre vou te decepcionar nada é eterno, nem mesmo o tempo exceto a minha gana de recomeçar de novo melhor, mais calmo, sábio, consciente de que tudo pode se acabar mas se depender de mim, eu sei que vou te amar pra (sempre!) sempre achando uma saída (sempre!) até o final da nossa vida sempre, apesar de mim, de você, de nós (sempre!) de nós (sempre!) de nós sempre (sempre, sempre, sempre) ah-ah, ah-ah-ah",259,127,116,49.034749034749034,44.78764478764479,91.33858267716536
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,eu nunca fui embora (live bootleg),"e logo quando eu tava acreditando que eu já tava bem parece até que você adivinhou 'cê sabe me abalar como ninguém e desde então eu me liguei que apesar de parecer, eu são paulo nunca fui embora você quem deu o fora você me salva e me faz mal já começou pelo final me dá coragem, me dá medo explanou os meus segredos pula como é que é ter esse mini-poder? só é feliz se fizer alguém sofrer já me tratei que é pra ver se passa tua memória eu não quero nem de graça e desde então eu me liguei que apesar de parecer eu nunca fui embora você quem deu o fora eu nunca fui, eu nunca vou não é assim que eu sou você me salva e me faz mal já começou pelo final me dá coragem, me dá medo explanou os meus segredos, uh oh você me salva e me faz mal já começou pelo final (pelo final) me dá coragem, me dá medo (coragem e medo) explanou os meus segredos, uh oh uh oh uh oh",182,73,66,40.10989010989011,36.26373626373626,90.41095890410958
